School.List,State,Year,ST.Total.Men,ST.Total.Women,ST.Total.AGI,ST.Total,percent_men,percent_women,percent_agi,men_change,women_change,agi_change
CARDOZO SCHOOL OF LAW,NEW YORK,2019,125,147,1,273,45.78754579,53.84615385,0.366300366,1.501831502,-1.868131868,0.366300366
CARDOZO SCHOOL OF LAW,NEW YORK,2020,120,167,1,288,41.66666667,57.98611111,0.347222222,-4.120879121,4.139957265,-0.019078144
CARDOZO SCHOOL OF LAW,NEW YORK,2021,103,175,4,282,36.5248227,62.05673759,1.418439716,-5.141843972,4.070626478,1.071217494
CARDOZO SCHOOL OF LAW,NEW YORK,2022,105,165,0,270,38.88888889,61.11111111,0,2.364066194,-0.945626478,-1.418439716
CARDOZO SCHOOL OF LAW,NEW YORK,2023,98,162,3,265,36.98113208,61.13207547,1.132075472,-1.907756813,0.020964361,1.132075472
CASE WESTERN RESERVE UNIVERSITY,OHIO,2017,50,74,0,124,40.32258065,59.67741935,0,NA,NA,NA
CASE WESTERN RESERVE UNIVERSITY,OHIO,2018,73,79,0,152,48.02631579,51.97368421,0,7.703735144,-7.703735144,0
CASE WESTERN RESERVE UNIVERSITY,OHIO,2019,41,73,0,114,35.96491228,64.03508772,0,-12.06140351,12.06140351,0
CASE WESTERN RESERVE UNIVERSITY,OHIO,2020,53,52,0,105,50.47619048,49.52380952,0,14.5112782,-14.5112782,0
CASE WESTERN RESERVE UNIVERSITY,OHIO,2021,61,90,0,151,40.39735099,59.60264901,0,-10.07883948,10.07883948,0
CASE WESTERN RESERVE UNIVERSITY,OHIO,2022,61,71,3,135,45.18518519,52.59259259,2.222222222,4.787834192,-7.010056414,2.222222222
CASE WESTERN RESERVE UNIVERSITY,OHIO,2023,64,85,1,150,42.66666667,56.66666667,0.666666667,-2.518518519,4.074074074,-1.555555556
CATHOLIC UNIVERSITY OF AMERICA,DISTRICT OF COLUMBIA,2017,37,57,0,94,39.36170213,60.63829787,0,NA,NA,NA
