School.List,State,Year,FT.BIPOC,FT.White,FT.Total,fac_percent_bipoc,fac_percent_white,fac_year_change
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2022,14,148,162,8.641975309,91.35802469,-0.9734
WILLIAM AND MARY LAW SCHOOL,VIRGINIA,2023,16,132,148,10.81081081,89.18918919,2.1688
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2017,21,113,134,15.67164179,84.32835821,NA
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2018,17,99,116,14.65517241,85.34482759,-1.0165
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2019,22,99,121,18.18181818,81.81818182,3.5266
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2020,21,107,128,16.40625,83.59375,-1.7756
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2021,23,114,137,16.78832117,83.21167883,0.3821
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2022,26,120,146,17.80821918,82.19178082,1.0199
"WISCONSIN, UNIVERSITY OF",WISCONSIN,2023,24,121,145,16.55172414,83.44827586,-1.2565
"WYOMING, UNIVERSITY OF",WYOMING,2017,6,30,36,16.66666667,83.33333333,NA
"WYOMING, UNIVERSITY OF",WYOMING,2018,6,34,40,15,85,-1.6667
"WYOMING, UNIVERSITY OF",WYOMING,2019,6,29,35,17.14285714,82.85714286,2.1429
"WYOMING, UNIVERSITY OF",WYOMING,2020,6,31,37,16.21621622,83.78378378,-0.9266
"WYOMING, UNIVERSITY OF",WYOMING,2021,6,28,34,17.64705882,82.35294118,1.4308
"WYOMING, UNIVERSITY OF",WYOMING,2022,7,29,36,19.44444444,80.55555556,1.7974
"WYOMING, UNIVERSITY OF",WYOMING,2023,8,29,37,21.62162162,78.37837838,2.1772
YALE UNIVERSITY,CONNECTICUT,2017,31,228,259,11.96911197,88.03088803,NA
YALE UNIVERSITY,CONNECTICUT,2018,30,227,257,11.67315175,88.32684825,-0.296
YALE UNIVERSITY,CONNECTICUT,2019,35,214,249,14.0562249,85.9437751,2.3831
YALE UNIVERSITY,CONNECTICUT,2020,33,216,249,13.25301205,86.74698795,-0.8032
YALE UNIVERSITY,CONNECTICUT,2021,34,207,241,14.10788382,85.89211618,0.8549
YALE UNIVERSITY,CONNECTICUT,2022,45,215,260,17.30769231,82.69230769,3.1998
YALE UNIVERSITY,CONNECTICUT,2023,39,224,263,14.82889734,85.17110266,-2.4788
