School.List,State,Year,FT.Male,FT.Female,FT.AGI,FT.Total,fac_percent_men,fac_percent_women,fac_percent_agi,fac_men_change,fac_women_change,fac_agi_change
SEATTLE UNIVERSITY,WASHINGTON,2023,83,82,0,165,50.3030303,49.6969697,0,-2.563211735,2.563211735,0
SETON HALL UNIVERSITY,NEW JERSEY,2017,65,49,0,114,57.01754386,42.98245614,0,NA,NA,NA
SETON HALL UNIVERSITY,NEW JERSEY,2018,65,49,0,114,57.01754386,42.98245614,0,0,0,0
SETON HALL UNIVERSITY,NEW JERSEY,2019,74,60,0,134,55.2238806,44.7761194,0,-1.793663263,1.793663263,0
SETON HALL UNIVERSITY,NEW JERSEY,2020,75,53,0,128,58.59375,41.40625,0,3.369869403,-3.369869403,0
SETON HALL UNIVERSITY,NEW JERSEY,2021,76,53,0,129,58.91472868,41.08527132,0,0.320978682,-0.320978682,0
SETON HALL UNIVERSITY,NEW JERSEY,2022,82,62,2,146,56.16438356,42.46575342,1.369863014,-2.750345121,1.380482107,1.369863014
SETON HALL UNIVERSITY,NEW JERSEY,2023,91,73,1,166,54.81927711,43.97590361,0.602409639,-1.345106453,1.51015019,-0.767453375
"SOUTH CAROLINA, UNIVERSITY OF",SOUTH CAROLINA,2017,64,45,0,109,58.71559633,41.28440367,0,NA,NA,NA
"SOUTH CAROLINA, UNIVERSITY OF",SOUTH CAROLINA,2018,68,39,0,107,63.55140187,36.44859813,0,4.835805539,-4.835805539,0
"SOUTH CAROLINA, UNIVERSITY OF",SOUTH CAROLINA,2019,67,38,0,105,63.80952381,36.19047619,0,0.25812194,-0.25812194,0
"SOUTH CAROLINA, UNIVERSITY OF",SOUTH CAROLINA,2020,70,42,0,112,62.5,37.5,0,-1.30952381,1.30952381,0
"SOUTH CAROLINA, UNIVERSITY OF",SOUTH CAROLINA,2021,70,46,0,116,60.34482759,39.65517241,0,-2.155172414,2.155172414,0
"SOUTH CAROLINA, UNIVERSITY OF",SOUTH CAROLINA,2022,79,48,0,127,62.20472441,37.79527559,0,1.859896823,-1.859896823,0
"SOUTH CAROLINA, UNIVERSITY OF",SOUTH CAROLINA,2023,80,56,0,136,58.82352941,41.17647059,0,-3.381194998,3.381194998,0
"SOUTH DAKOTA, UNIVERSITY OF",SOUTH DAKOTA,2017,23,9,0,32,71.875,28.125,0,NA,NA,NA
"SOUTH DAKOTA, UNIVERSITY OF",SOUTH DAKOTA,2018,23,10,0,33,69.6969697,30.3030303,0,-2.178030303,2.178030303,0
